cycle,malicious_rating,benign_rating,f1,avg_speedup,avg_number_of_work_units_distributed
8,0.0,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,0.0,1.0
8,0.0,0.0,0.0,1.5,1.0
9,0.0,0.0,0.0,0.0,1.0
9,0.0,0.0,0.0,0.0,1.0
9,0.0,0.0,0.0,0.0,1.0
9,0.0,0.0,0.0,0.0,1.0
9,0.0,0.0,0.0,0.0,1.0
9,0.0,0.0,0.0,4.125,1.0
9,0.0,0.0,0.0,0.0,1.0
9,0.0,0.0,0.0,1.5,1.0
10,0.0,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,1.5,1.0
10,0.0,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,0.0,1.0
10,0.0,0.0,0.0,4.125,0.95
11,0.0,0.0,0.0,0.0,1.0
11,0.0,0.0,0.0,0.0,1.0
11,0.0,0.0,0.0,0.0,1.0
11,0.0,0.0,0.0,0.0,1.0
11,0.0,0.0,0.0,1.5,1.0
11,0.0,0.0,0.0,4.125,0.95
11,0.0,0.0,0.0,0.0,1.0
11,0.0,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,0.0,1.0
12,0.0,0.6428571428571429,0.0,4.125,0.95
12,0.0,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,0.0,1.0
12,0.16261904761904764,0.0,0.0,1.5,1.0
13,0.0,0.6428571428571429,0.0,4.125,0.95
13,0.0,0.0,0.0,0.0,1.0
13,0.16261904761904764,0.0,0.0,1.5,1.0
13,0.0,0.0,0.0,1.1481481481481481,1.0
13,0.0,0.0,0.0,0.0,1.0
13,0.0,0.0,0.0,0.0,1.0
13,0.0,0.0,0.0,0.0,1.0
13,0.0,0.0,0.0,0.0,1.0
14,0.0,0.0,0.0,1.1481481481481481,1.0
14,0.16261904761904764,0.0,0.0,1.5,1.0
14,0.0,0.0,0.0,0.0,1.0
14,0.0,0.6428571428571429,0.0,4.125,0.95
14,0.0,0.0,0.0,0.0,1.0
14,0.0,0.0,0.0,0.0,1.0
14,0.0,0.0,0.0,0.0,1.0
14,0.0,0.0,0.0,0.0,1.0
15,0.0,0.0,0.0,0.0,1.0
15,0.0,0.6428571428571429,0.0,4.125,0.95
15,0.0,0.0,0.0,1.0888888888888888,1.0
15,0.0,0.0,0.0,1.054054054054054,1.0
15,0.16261904761904764,0.0,0.0,1.5,1.0
15,0.0,0.0,0.0,2.2857142857142856,1.0
15,0.0,0.0,0.0,1.1481481481481481,1.0
15,0.0,0.0,0.0,2.375,1.0
16,0.0,0.0,0.0,2.375,1.0
16,0.0,0.0,0.0,1.8888888888888888,1.0
16,0.0,0.6428571428571429,0.0,4.125,0.95
16,0.0,0.0,0.0,1.054054054054054,1.0
16,0.0,0.0,0.0,1.1481481481481481,1.0
16,0.0,0.0,0.0,2.2857142857142856,1.0
16,0.0,0.0,0.0,1.0888888888888888,1.0
16,0.16261904761904764,0.0,0.0,1.5,1.0
17,0.0,0.6428571428571429,0.0,4.125,0.95
17,0.0,0.0,0.0,1.054054054054054,1.0
17,0.0,0.0,0.0,1.8888888888888888,1.0
17,0.16261904761904764,0.0,0.0,1.5,1.0
17,0.0,0.0,0.0,1.0888888888888888,1.0
17,0.0,0.0,0.0,2.375,1.0
17,0.0,0.0,0.0,1.1481481481481481,1.0
17,0.0,0.0,0.0,2.2857142857142856,1.0
18,0.0,0.0,0.0,2.375,1.0
18,0.0,0.0,0.0,1.8888888888888888,1.0
18,0.0,0.0,0.0,2.2857142857142856,1.0
18,0.16261904761904764,0.0,0.0,1.5,1.0
18,0.0,0.6428571428571429,0.0,3.40625,0.95
18,0.0,0.0,0.0,1.1481481481481481,1.0
18,0.0,0.0,0.0,1.054054054054054,1.0
18,0.0,0.0,0.0,1.0888888888888888,1.0
19,0.0,0.6428571428571429,0.0,3.40625,0.95
19,0.0,0.0,0.0,2.2857142857142856,1.0
19,0.16261904761904764,0.0,0.0,1.5,1.0
19,0.0,0.0,0.0,1.8888888888888888,1.0
19,0.0,0.0,0.0,1.054054054054054,1.0
19,0.0,0.0,0.0,1.0888888888888888,1.0
19,0.0,0.0,0.0,1.1481481481481481,1.0
19,0.0,0.0,0.0,2.375,1.0
20,0.0,0.0,0.0,2.2857142857142856,0.9
20,0.0,0.0,0.0,2.375,0.91
