cycle,malicious_rating,benign_rating,f1,avg_speedup
51,0.23908260385074903,0.2886752136752137,0.0,1.4154431216931218
52,0.26441979736334575,0.29,0.0,1.4154431216931218
53,0.26441979736334575,0.29,0.0,1.4154431216931218
54,0.26441979736334575,0.29,0.0,1.4154431216931218
55,0.26441979736334575,0.29,0.0,1.4154431216931218
56,0.26441979736334575,0.29,0.0,1.4154431216931218
57,0.26441979736334575,0.29,0.0,1.4154431216931218
58,0.26441979736334575,0.29,0.0,1.4289062214924286
59,0.26441979736334575,0.29,0.0,1.4289062214924286
60,0.26441979736334575,0.29,0.0,1.4289062214924286
61,0.26441979736334575,0.29,0.0,1.4289062214924286
62,0.26441979736334575,0.29,0.0,1.4289062214924286
63,0.26441979736334575,0.29,0.0,1.4289062214924286
64,0.33782460525881575,0.5805671055671057,0.0,1.4289062214924286
65,0.33782460525881575,0.5805671055671057,0.0,1.4289062214924286
66,0.33782460525881575,0.5805671055671057,0.0,1.4289062214924286
67,0.33782460525881575,0.5805671055671057,0.0,1.4289062214924286
68,0.33782460525881575,0.5805671055671057,0.0,1.4289062214924286
69,0.33782460525881575,0.5805671055671057,0.0,1.4289062214924286
70,0.33782460525881575,0.5805671055671057,0.0,1.4289062214924286
71,0.33782460525881575,0.5805671055671057,0.0,1.4289062214924286
72,0.33909392314695935,0.5819328493647913,0.0,1.4289062214924286
73,0.33909392314695935,0.5819328493647913,0.0,1.4376687648239372
74,0.33909392314695935,0.5819328493647913,0.0,1.4376687648239372
75,0.33909392314695935,0.5819328493647913,0.0,1.4376687648239372
76,0.33909392314695935,0.5819328493647913,0.0,1.4376687648239372
77,0.33909392314695935,0.5819328493647913,0.0,1.4376687648239372
78,0.33909392314695935,0.5819328493647913,0.0,1.4376687648239372
79,0.33909392314695935,0.5819328493647913,0.0,1.4376687648239372
80,0.33909392314695935,0.5819328493647913,0.0,1.4376687648239372
81,0.33909392314695935,0.5819328493647913,0.0,1.4376687648239372
82,0.33909392314695935,0.5819328493647913,0.0,1.4376687648239372
83,0.33909392314695935,0.5819328493647913,0.0,1.4376687648239372
84,0.34040929941724224,0.8688071151409567,0.0,1.4376687648239372
85,0.34040929941724224,0.8688071151409567,0.0,1.4376687648239372
86,0.34040929941724224,0.8688071151409567,0.0,1.4376687648239372
87,0.34040929941724224,0.8688071151409567,0.0,1.3547364922980687
88,0.3394101497573784,0.8688071151409567,0.0,1.3547364922980687
89,0.3394101497573784,0.8688071151409567,0.0,1.3547364922980687
90,0.3394101497573784,0.8688071151409567,0.0,1.3547364922980687
91,0.3394101497573784,0.8688071151409567,0.0,1.3547364922980687
92,0.3635629012698576,0.872556546053126,0.0,1.3547364922980687
93,0.3635629012698576,0.872556546053126,0.0,1.3547364922980687
94,0.3635629012698576,0.872556546053126,0.0,1.3547364922980687
95,0.3635629012698576,0.872556546053126,0.0,1.3547364922980687
96,0.3635629012698576,0.872556546053126,0.0,1.7635194307608102
97,0.3635629012698576,0.872556546053126,0.0,1.7635194307608102
98,0.3635629012698576,0.872556546053126,0.0,1.7635194307608102
99,0.3635629012698576,0.872556546053126,0.0,1.7635194307608102
100,0.3635629012698576,0.872556546053126,0.0,1.7635194307608102
101,0.3635629012698576,0.872556546053126,0.0,1.7635194307608102
102,0.3635629012698576,0.872556546053126,0.0,1.7635194307608102
